variable,year
precipitation,1979
precipitation,1980
precipitation,1981
precipitation,1982
precipitation,1983
precipitation,1984
precipitation,1985
precipitation,1986
precipitation,1987
precipitation,1988
precipitation,1989
precipitation,1990
precipitation,1991
precipitation,1992
precipitation,1993
precipitation,1994
precipitation,1995
precipitation,1996
precipitation,1997
precipitation,1998
precipitation,1999
precipitation,2000
precipitation,2001
precipitation,2002
precipitation,2003
precipitation,2004
precipitation,2005
precipitation,2006
precipitation,2007
precipitation,2008
precipitation,2009
precipitation,2010
precipitation,2011
precipitation,2012
precipitation,2013
precipitation,2014
precipitation,2015
precipitation,2016
precipitation,2017
precipitation,2018
precipitation,2019
temperature,1979
temperature,1980
temperature,1981
temperature,1982
temperature,1983
temperature,1984
temperature,1985
temperature,1986
temperature,1987
temperature,1988
temperature,1989
temperature,1990
temperature,1991
temperature,1992
temperature,1993
temperature,1994
temperature,1995
temperature,1996
temperature,1997
temperature,1998
temperature,1999
temperature,2000
temperature,2001
temperature,2002
temperature,2003
temperature,2004
temperature,2005
temperature,2006
temperature,2007
temperature,2008
temperature,2009
temperature,2010
temperature,2011
temperature,2012
temperature,2013
temperature,2014
temperature,2015
temperature,2016
temperature,2017
temperature,2018
temperature,2019
